2020 Unofficial General Election Results,,,,,
City of Philadelphia,,,,,
Divisions 1703 of 1703 Reporting,,,,,
Downloaded at 11/10/2020 5:15:35 PM,,,,,
,,,,,
,,,,,
PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES<br/>(VOTE FOR 1),Ward-Division,JOSEPH R BIDEN AND KAMALA D HARRIS,DONALD J TRUMP AND MICHAEL R PENCE,JO JORGENSEN AND JEREMY SPIKE COHEN,Write-in
,33-16,164,54,2,0
,33-17,141,30,1,0
,33-18,133,24,1,1
,33-19,210,45,0,0
,33-20,166,32,0,1
,33-21,158,22,0,0
,33-22,262,43,1,0
,33-23,176,36,2,0
,33-24,295,38,3,2
,34-01,278,8,0,1
,34-02,374,8,2,0
,34-03,288,11,1,1
,34-04,244,3,1,0
,34-05,280,9,0,1
,34-06,411,12,1,1
,34-07,385,11,6,0
,34-08,467,8,0,1
,34-09,298,11,4,0
,34-10,403,6,3,0
,34-11,447,7,3,1
,34-12,511,24,3,2
,34-13,450,16,2,0
,34-14,476,27,8,2
,34-15,479,9,5,0
,34-16,329,15,1,1
,34-17,445,24,2,0
,34-18,466,27,3,1
,34-19,602,35,2,1
,34-20,566,12,4,1
,34-21,611,17,1,1
,34-22,457,42,0,1
,34-23,458,73,1,3
,34-24,353,11,2,2
,34-25,434,105,7,1
,34-26,248,9,3,0
,34-27,426,15,3,0
,34-28,416,25,2,0
,34-29,469,33,1,1
,34-30,436,32,1,1
,34-31,497,39,4,0
,34-32,371,16,3,1
,34-33,467,26,2,1
,34-34,384,59,2,5
,34-35,284,11,0,0
,34-36,300,10,1,0
,34-37,373,18,2,1
,34-38,316,4,1,0
,34-39,439,36,3,1
,34-40,395,26,2,0
,34-41,547,31,0,4
,34-42,305,9,0,0
,35-01,379,111,7,1
,35-02,349,145,3,2
,35-03,277,108,5,0
,35-04,264,101,4,1
,35-05,385,159,4,1
,35-06,355,65,3,0
,35-07,421,146,3,2
,35-08,304,72,2,0
,35-09,515,99,5,1
,35-10,375,45,2,1
,35-11,365,67,2,3
,35-12,314,82,1,1
,35-13,444,31,3,0
,35-14,267,22,2,1
,35-15,290,26,1,2
,35-16,344,47,3,0
,35-17,378,30,3,1
,35-18,379,42,0,0
,35-19,348,33,0,0
,35-20,324,70,2,3
,35-21,396,55,3,1
,35-22,342,51,4,0
,35-23,327,33,3,0
,35-24,353,38,4,0
,35-25,303,75,3,1
,35-26,239,40,2,1
,35-27,188,62,1,0
,35-28,274,25,1,0
,35-29,238,66,0,1
,35-30,268,37,1,0
,35-31,267,40,2,0
,35-32,302,102,5,1
,36-01,369,24,5,1
,36-02,377,27,3,1
,36-03,375,30,4,0
,36-04,292,12,4,0
,36-05,411,17,2,1
,36-06,426,36,6,0
,36-07,408,31,3,2
,36-08,466,33,2,1
,36-09,411,29,1,1
,36-10,406,11,4,3
,36-11,330,19,4,1
,36-12,337,19,0,2
,36-13,393,26,4,0
,36-14,208,73,0,0
,36-15,342,17,2,0
,36-16,337,27,4,1
,36-17,304,28,3,0
,36-18,383,18,5,3
,36-19,294,9,0,0
,36-20,356,39,0,1
,36-21,315,23,2,0
,36-22,293,6,2,0
,36-23,335,24,2,2
,36-24,241,14,1,0
,36-25,326,56,3,4
,36-26,239,64,4,1
,36-27,243,109,3,2
,36-28,352,30,2,0
,36-29,346,66,4,2
,36-30,253,46,1,0
,36-31,371,51,2,0
,36-32,350,26,2,0
,36-33,326,55,3,3
,36-34,375,40,4,1
,36-35,498,33,7,1
,36-36,487,33,2,1
,36-37,512,42,3,1
,36-38,433,38,1,1
,36-39,505,35,4,2
,36-40,617,41,6,2
,36-41,287,50,4,0
,37-01,113,9,0,0
,37-02,281,16,0,0
,37-03,165,7,0,1
,37-04,259,15,2,0
,37-05,258,11,1,0
,37-06,150,15,0,0
,37-07,206,12,0,0
,37-08,197,7,2,0
,37-09,223,8,0,0
,37-10,260,17,0,0
,37-11,247,13,0,0
,37-12,218,5,1,0
,37-13,200,22,0,2
,37-14,314,17,6,0
,37-15,251,30,0,0
,37-16,259,20,1,1
,37-17,171,15,4,0
,37-18,321,32,1,1
,37-19,221,41,1,0
,37-20,243,36,0,0
,37-21,337,29,4,0
,38-01,268,4,1,0
,38-02,320,3,2,2
,38-03,488,9,1,0
,38-04,322,2,1,1
,38-05,347,8,2,0
,38-06,385,7,2,1
,38-07,395,14,1,1
,38-08,336,6,1,0
,38-09,724,50,5,4
,38-10,416,17,2,1
,38-11,339,35,1,0
,38-12,450,70,8,2
,38-13,445,81,4,0
,38-14,365,59,4,2
,38-15,504,75,4,0
,38-16,368,90,6,3
,38-17,447,28,1,4
,38-18,415,70,3,2
,38-19,280,33,4,2
,38-20,302,94,3,2
,38-21,348,5,1,0
,39-01,199,150,2,0
,39-02,176,74,4,1
,39-03,253,235,3,0
,39-04,147,121,0,1
,39-05,327,53,6,0
,39-06,169,219,3,0
,39-07,284,296,6,0
,39-08,257,185,4,2
,39-09,271,46,3,0
,39-10,386,65,1,3
,39-11,152,56,0,1
,39-12,139,122,2,1
